State,District,University Type,University Name,College Name,College Type,Address,Website,Management,"Year of Establishment
",Specialised in,Location,,Upload Year,The Institute Added In Survey Year
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Govt. Girls P.G College, Ujjain (Id: C-31720)",Affiliated College,"Dashera Maidan, Ujjain, Ujjain",www.highereducationmp.org/gdcujjain,State Government,1958,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Govt.Kalidas Girls College,Ujjain (Id: C-31664)",Affiliated College,"Ankpat Marg Near Ramjanardan Mandir, Khak chouk Chouraha, Ujjain",http://www.mpcolleges.nic.in/kalidascollege,State Government,1982,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Govt. Madhav Science College, Ujjain (Id: C-31619)",Affiliated College,"Dewas Road Ujjain M.P., Dewas Road Ujjain M.P., Ujjain",www.madhavsciencecollegeujjain.in,State Government,1969,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Govt. Nursing College, Ujjain (Id: C-31674)",Affiliated College,"sudama nagar In front of water tank Agar road ujjain M.P., sudama nagar In front of water tank Agar road ujjain M.P., Ujjain",,State Government,2010,Nursing,Urban,,2018,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Govt. Vikram College, Khachraud (Id: C-31620)",Affiliated College,"Nagda Road,, Khachrod, Khachrod",www.mp.gov.in/highereducation/gdckhachrod/,State Government,1973,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Helioj College, Ujjain (Id: C-31742)",Affiliated College,"83/17/03, Vishnupura, Madhav Club Road, Teen Batti Chouraha Freeganj, Ujjain",www.omegacollege.in,Private Un-Aided,2009,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Jai Jawan College,Tarana (Id: C-31633)",Affiliated College,"Hospital Road Tarana, Hospital Road Tarana, Tarana",,Private Aided,1970,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)",Jai Narsingh College of Education (Id: C-59451),Affiliated College,"INDORE, INDORE, INDORE",jainarsinghcollege.com ,Private Un-Aided,2018,No,Rural,,2020,2017
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Lokmanya Tilak College of Education, Ujjain (Id: C-31672)",Affiliated College,"Lokmanya Tilak Shiksha Parisar Neelganga Road, Madhav Nagar, Behind Railway Station, Ujjain",www.ltedcollege.org,Private Un-Aided,1971,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Lokmanya Tilak Science & Commerence College, Ujjain (Id: C-31623)",Affiliated College,"Lokmanya Tilak Shiksha Parisar, Neelganga Road, Behind Railway Station, Ujjain",ltsccollegeujjain.com,Private Un-Aided,2001,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Madhav College,Dewas Gate, Ujjain (Id: C-31603)",Affiliated College,"GOVT. Madhav Arts & Commerce College,Ram Janardan Mandir ke Samne, Ujjain, GOVT. Madhav Arts & Commerce College,Ram Janardan Mandir ke Samne, Ujjain, UJJAIN",www.mphighereducation.nic.in/madhavcollege,State Government,1890,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Mahakal Institute of Management, Ujjain (Id: C-31660)",Affiliated College,"Mahakal Institute of Management, Ujjain, Behind Air Strip Datana, Dewas Road, Ujjain, Ujjain",www.mitujjain.ac.in,Private Un-Aided,2003,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Maharaja College of Ujjain, Ujjain (Id: C-31628)",Affiliated College,"Near Abhilasha Colony, Dewas Road,, UJJAIN",http://maharajacollegeujjain.com/,Private Un-Aided,2005,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)",Manovikas College of Special Education (Id: C-53080),Affiliated College,"sector 9 Jawahar Nagar, Ujjain, UJJAIN",manovikascollege.com,Private Un-Aided,2015,Education/Teacher Education,Urban,,2020,2014
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","MASTER MIND GIRLS COLLEGE, MAKDON (Id: C-50195)",Affiliated College,"Makdon Road, Tarana",https://mmscc.in/,Private Un-Aided,2014,No,Rural,,2020,2014
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Nav Samvat Vidhi College, Ujjain (Id: C-31618)",Affiliated College,"22/2 Lalpur,  Nagjhiri, Dewas Road, Ujjain",www.navsamvatcollege.com,Private Un-Aided,2005,Law,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)",NIRMALA COLLEGE (Id: C-61146),Affiliated College,"PREM NAGAR DEWAS ROAD, , CHANDESSERA",nirmalacollegeujjain.com,Private Un-Aided,2018,No,Rural,,2020,2018
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)",Nirmala College Of Education (Id: C-58471),Affiliated College,"Prem Nagar, Chandessary, Dewas Road, Ujjain",www.nirmalacollegeofeducation.com,Private Un-Aided,2017,No,Rural,,2020,2017
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Prashanti College of Professional Studies, Ujjain (Id: C-31728)",Affiliated College,"GRAM GANGEDI, NEAR MAHAVEER TAPOBHUMI, INDORE ROAD, UJJA, GRAM GANGEDI, NEAR MAHAVEER TAPOBHUMI, INDORE ROAD, UJJAIN",www.prashantiinstitute.com/,Private Un-Aided,2007,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Prashanti Inst. Of Management,Ujjain (Id: C-31613)",Affiliated College,"Gram Gangedi, Near Mahaveer Tapobhumi, Indore Road, Ujjain",http://prashantigroup.in,Private Un-Aided,2009,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Rashtra Bharti Education College, Ujjain. (Id: C-31644)",Affiliated College,"rashtra bharti shiksha mahavidyalaya, opposite madhav nagar railway station, freeganj, ujjain",www.rashtrabharti.org,Private Un-Aided,2007,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","R.D.G.D. College Of Nursing, Ujjain (Id: C-31651)",Affiliated College,"R.D.G.D. College Of Nursing, AGAR ROAD SURASA, UJJAIN",www.rdgmc.edu.in,Private Un-Aided,2006,Nursing,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Sandipani Arts & Com. College, Ujjain (Id: C-31680)",Affiliated College,"DASHEHARA MAIDAN ANUPURAK YOJANA, BEHIND BANK OF INDIA DASHEHARA MAIDAN, UJJAIN",www.sandipanicollegeujjain.com,Private Aided,1966,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Sandipani Low College, Ujjain (Id: C-31615)",Affiliated College,"Kshapank Marg, Dashera Maidan, Ujjain",www.sandipanicollegeujjain.com,Private Un-Aided,1972,Law,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Saraswati Edu.College,Ujjain (Id: C-31647)",Affiliated College,"Rishi Nagar Ujjain (M.P.), Rishinagar, Ujjain",http://ssmvujn.in/,Private Un-Aided,2007,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Seshshayee College of Prof. Studies, Nagda (Id: C-31639)",Affiliated College,"218, Jawahar Marg,, Station Road, NAGDA Junction",,Private Un-Aided,2008,No,Urban,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)",SHRI GURU SANDIPANI GIRLS INSTITUTE OF PROFESSIONAL STUDIES (Id: C-57174),Affiliated College,"VILLAGE SURASA AGAR ROAD, UJJAIN",www.mphighereducation.nic.in,Private Un-Aided,2016,No,Rural,,2020,2016
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)",SHRI GURU SANDIPANI INSTITUTE OF MANAGEMENT (Id: C-57173),Affiliated College,"VILLAGE SURASA AGAR ROAD, UJJAIN",sgsimujjain.com,Private Un-Aided,2016,No,Rural,,2020,2016
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Shri Raj Rajendra Jayant Sen Suri College of Education, Ujjain (Id: C-58391)",Affiliated College,"9, 10/2 Gram Manpura, Opposite Abhilasha Colony, Dewas Road, Ujjain",jayantseneducation.com,Private Un-Aided,2016,No,Rural,,2020,2017
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Swargiya  Nagulal Malviya Govt. College, Ghattiya (Id: C-31604)",Affiliated College,"Zero Point,Tulaheda Road, Ghattiya, Ghattiya, Dist. Ujjain (Madhya Pradesh) 456550, Ujjain",http://www.gcghattiyaujjain.nic.in,State Government,2010,No,Rural,,2020,2010
Madhya Pradesh,Ujjain,State Public University ,"Vikram University, Ujjain (Id: U-0291)","Vardhman College Of Prof.Studies, Nagda (Id: C-31724)",Affiliated College,"Aproch Road Nagda, Near Shiv Mandir Nagda Jn., Nagda jn.",,Private Un-Aided,2009,No,Urban,,2020,2010
Madhya Pradesh,Umaria,State Public University ,"Awadesh Pratap Singh University, Rewa (Id: U-0268)",GOVERNMENT  COLLEGE CHANDIA (Id: C-67052),Affiliated College,"GRAM -NARIYARA CHANDIA , CHANDIA, CHANDIA",,State Government,2013,No,Rural,,2020,2020
Madhya Pradesh,Umaria,State Public University ,"Awadesh Pratap Singh University, Rewa (Id: U-0268)",GOVERNMENT COLLEGE NOWROZABAD DISTRICT UMARIA (Id: C-66348),Affiliated College,"Near SECL Guest House, , Nowrozabad",,State Government,2016,No,Urban,,2020,2020
Madhya Pradesh,Umaria,State Public University ,"Awadesh Pratap Singh University, Rewa (Id: U-0268)","GOVT.COLLEGE, BIRSINGHPUR PALI,UMARIA (Id: C-31865)",Affiliated College,"MANGTHAR ROAD NEAR PALI PROJECT BIRSINGHPUR PALI, MANGTHAR ROAD NEAR PALI PROJECT BIRSINGHPUR PALI, BIRSINGHPUR PALI",www.mp.gov.in/highereducation/govt.college birsinghpur,State Government,1989,No,Rural,,2020,2010
Madhya Pradesh,Umaria,State Public University ,"Awadesh Pratap Singh University, Rewa (Id: U-0268)","GOVT. COLLEGE MANPUR, DISTT-UMARIYA (Id: C-55488)",Affiliated College,"Govt. College Manpur , Near Dev Bhoomi Public School, Manpur",,State Government,2013,Arts,Rural,,2020,2015
Madhya Pradesh,Umaria,State Public University ,"Awadesh Pratap Singh University, Rewa (Id: U-0268)","GOVT.R.V.P S. COLLEGE, UMARIA, (Id: C-31897)",Affiliated College,"SHAHPURA ROAD, INFRONT OF COLLECTORATE UMARIA, UMARIA",http://www.mphighereducation.nic.in/1411,State Government,1973,No,Urban,,2020,2010
Madhya Pradesh,Umaria,State Public University ,"MADHYA PRADESH AYURVIGYAN VISHWAVIDHLAYA, JABALPUR (Id: U-0996)",RELIANCE INSTITUTE OF NURSING BIRSINGHPUR PALI UMARIA (Id: C-66933),Affiliated College,"BESIDE PALI PROJECT PETROL PUMP , , BIRSINGHPUR PALI",,Private Un-Aided,2020,No,Rural,,2020,2020
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",BIRASINI INSTITUTE OF COMPUTER TECHNOLOGY (Id: C-67305),Recognized Center,,,,,,,,NO,2021
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",HARMILAP INSTITUTE OF COMPUTER AND MANAGEMENT (Id: C-53671),Recognized Center,"PALI ROAD, UMARIA",,Private Un-Aided,2011,Computer Application,Urban,,2018,2014
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",KIRAN COMPUTER INSTITUTE (Id: C-67306),Recognized Center,,,,,,,,NO,2021
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",MICROSYS INSTITUTE OF COMPUTER TECHNOLOGY UMARIA (Id: C-31216),Recognized Center,"Ward No 13, Singal Tola, Shahpura Road, UMARIA",,Private Aided,2006,Computer Application,Urban,,2020,2010
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",NICTEC INSTITUTE OF COMPUTER AND EXCELLENCE (Id: C-54168),Recognized Center,"NEAR GANDHI CHOWK, MAIN ROAD, UMARIA",,Private Un-Aided,2011,No,Urban,,2020,2014
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",NPCC COMPUTER INSTITUTE  (Id: C-53940),Recognized Center,"NEAR BUS STAND, INFRONT OF SHIV PRRESS, MAIN ROAD, MANPUR",,Private Un-Aided,2011,Computer Application,Rural,,2020,2014
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",PALI INSTITUTE IF COMPUTER AND TECHNOLOGY (Id: C-54167),Recognized Center,"C/O KASHI PRASAD AGRAWAL, NO.135WARD NO.11,MAIN MARKET,PRAKASH CHOUK, BIRSINGHPUR PALI",www.pictbirsinghpurpali.com,State Government,2012,Computer Application,Urban,,2020,2014
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",PT. RAMGOPAL TIWARI INSTITUTE OF TECHNOLOGY (Id: C-53946),Recognized Center,"NEAR RAMJANKI GARHI ROAD, CHANDIA, CHANDIA",,Private Un-Aided,2012,No,Urban,,2020,2014
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",SHITLA PRATAP SINGH COMPUTER TECHNOLOGY UMARIA (Id: C-31090),Recognized Center,"Sagra Mandir road Shubash Ganj, Ward No 11 Umaria Madhya Pradesh, Umaria",www.spsctumr.co.in,Private Aided,2003,Computer Application,Urban,,2020,2010
Madhya Pradesh,Umaria,State Public University ,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal (Id: U-0283)",Softtech Computer Academy  (Id: C-61291),Recognized Center,"WARD NO 08 NEAR KHALESAR RIVER, INFRONT OF HANSWAHNI SCHOOL, UMARIA",,Private Un-Aided,2018,Computer Application,Urban,,2020,2018
Madhya Pradesh,Umaria,State Public University ,"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal (Id: U-0287)",GOVERNMENT POLYTECHNIC COLLEGE UMARIA (Id: C-62364),Affiliated College,"KACHRAWR ROAD NEAR RTO BUILDING , GRAM -DABARHUA, UMARIA",www.gpcumaria.ac.in,State Government,2010,No,Rural,,2020,2019
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",AZAD COLLEGE OF EDUCATION (Id: C-63142),Affiliated College,"Gram Chourawar, post Gamakar, Ganj Basoda",,Private Un-Aided,2016,No,Rural,,2020,2019
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",BUNDELKHAND COLLEGE (Id: C-65783),Affiliated College,"kurwai pathari main road village sihora tehsil kurwai, , village sihora",,Private Un-Aided,2015,No,Rural,,2020,2020
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",CIST College (Id: C-48867),Affiliated College,"Arihant Vihar, Near Water Tank, Vidisha",www.cindia.org,Private Un-Aided,2010,No,Urban,,2020,2012
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",GOVERNMENT COLLEGE GULABGANJ DISTT VIDISHA (Id: C-48233),Affiliated College,"GOVERNMENT COLLEGE GULABGANJ, NEAR GRAM SANTAPUR, GULABGANJ",,State Government,2015,No,Rural,,2020,2011
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",Government College Nateran (Id: C-54829),Affiliated College," In front of  govt model higher secondary school , sew  road Nateran, Nateran",,State Government,2012,No,Rural,,2020,2014
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",GOVERNMENT COLLEGE VIDISHA (Id: C-47342),Affiliated College,"KALA PATA ROAD, GRAM GURARIYA HAWELI, VIDISHA, VIDISHA, VIDISHA",http://www.mphighereducation.nic.in/2707,State Government,2010,No,Rural,,2020,2011
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Govt. College, Kurwai, Vidisha (Id: C-35136)",Affiliated College,"PRINCIPAL GOVT. COLLEGE, BINA ROAD, KURWAI",www.mpcolleges.nic.in/pgckurwai/,State Government,1983,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",GOVT COLLEGE LATERI  (Id: C-65885),Affiliated College,"Samsabad road Lateri, , JHUKARJOGI",http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=Mjgz,State Government,2010,No,Rural,,2020,2020
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Govt. College, Shamshabad, Vidisha (Id: C-35096)",Affiliated College,"near Mahaneem Square, , Village  Mohanpura, Shamshabad, Shamshabad",govcollegeshamshabad.in,State Government,2008,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",GOVT  GIRLS (LEAD) PG  COLLEGE  VIDISHA (Id: C-35220),Affiliated College,"Sanchi road, Idgaha chauraha, Vidisha",http://www.mphighereducation.nic.in/InstitutePortal/Default.aspx?InstId=Mjc2,State Government,1970,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Govt. Sanjay Gandhi Smriti College, Ganjbasoda, Vidisha (Id: C-35214)",Affiliated College,"KALA BAGH BARETH ROAD, GANJ BASODA, GANJ BASODA",,State Government,1964,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Gurudev Vidya Sagar B.Ed. College, Vidisha (Id: C-35349)",Affiliated College,"P.H. No 48, AARAJI No.28/1, 28/1/3/CHA, TAMOIYA, P.H. No 48, AARAJI No.28/1, 28/1/3/CHA, TAMOIYA VIDISHA, VIDISHA",www.gsvmvidisha.in,Private Un-Aided,2012,Education/Teacher Education,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","I.I.H.R.D. College, Vidisha (Id: C-35145)",Affiliated College,"Infront of Pole Factory, Ahmadpur Road,, Ahar Vihar Parisar, Vidisha, Vidisha",www.iihrd.in,Local Body,2009,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Jawaharlal College, Vidisha (Id: C-35292)",Affiliated College,RAMDWARA VIDISHA,,Local Body,2001,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Jawahar Lal Nehru Smriti, College, Vidisha (Id: C-35380)",Affiliated College,"OPPOSITE FOREST DEPO, TYONDA ROAD, GANJ BASODA",www.jlnsbasoda.com,Private Un-Aided,1989,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","KDBM College, New Bus Stand, Paliwal Farm House, Sironj, Vidisha (Id: C-35271)",Affiliated College,"sh 23 kdbm college custome path, sironj",www.kdbmcollege.org,Private Aided,2000,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","K.M.L. Vatsalya College, Haripura, Vidisha (Id: C-35256)",Affiliated College,"Haripura, Vidisha",https://kmlvatsalya.com/,Private Aided,2004,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Kushabhaou Thakre College, Gyraspur Lokkalyan Samiti, Vidisha (Id: C-35327)",Affiliated College,"vill - Suankhedi, Near Atari Khejra Sub division Gyaraspur, Vidisha",,Private Un-Aided,2007,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",KUSHABHAU THAKRE LAW COLLEGE (Id: C-66270),Affiliated College,,,,,,,,NO,2021
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","LBS College, Ganjbasoda, Vidisha (Id: C-35191)",Affiliated College,"Ward No. 13, Tyonda Road, Ganj Basoda",www.lbsbasoda.com,Private Aided,1967,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","LBS College, Sironj, Vidisha (Id: C-35190)",Affiliated College,"Mandi Bamora Road sironj, Sironj, SIRONJ",www.glbscollegesironj.ac.in,Central Government,1969,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",MAHARANA PRATAP COLLEGE OF SCIENCE AND TECHNOLOGY (Id: C-47413),Affiliated College,"DURGA NAGAR MAIN ROAD, L.B.S. NAGAR, VIDISHA",http://mpcstvidisha.in,Private Un-Aided,2011,No,Urban,,2020,2011
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","MAULANA AZAD B.Ed. COLLEGE, GULABGANJ, VIDISHA (Id: C-59312)",Affiliated College,"GANJ BASODA ROAD, GULABGANJ,VIDISHA, NEAR RAILWAY STATION VIDISHA, VIDISHA",www.mabedcollege.com,Local Body,2014,No,Rural,,2020,2017
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Rajeev Gandhi College, Kala Bagh Belet Road, Ganjbasoda, Vidisha (Id: C-35355)",Affiliated College,"kala bagh, lodhi colony, near laxmi narayan mandir, ganj basoda, Ganj Basoda",,Private Un-Aided,2001,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Ramkrishna Memorial College, Girija Sapan Vidya Vihar, Ahmadpur Road, Vidisha (Id: C-35302)",Affiliated College,"Shyam Prasad Mukharjee Nagar Vidisha, Girja Sadan Vidya Vihar Colony Ahamadpur, Vidisha",www.rkmpgcollegevidisha.nic.in,Private Aided,1998,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",SAINT GIRDHAR COLLEGE VIDISHA (Id: C-63403),Affiliated College,TEELAKHEDI COLONY,,Private Un-Aided,2019,No,Urban,,2020,2019
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Saint Mary College, Vidisha (Id: C-35354)",Affiliated College,"Near St. Mary's Church, NH-146 Sagar Road Vidisha, Vidisha",http://www.stmaryscollegevidisha.edu.in/,Private Un-Aided,2000,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","SAnjay Gandhi College, Vidisha (Id: C-35119)",Affiliated College,"GRAM -CHIRODIYA VIDISHA, AHAMADPUR ROAD, VIDISHA",www.sanjaygandhicollege.org,Private Un-Aided,2005,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","SATI, Vidisha (Id: C-35129)",Affiliated College,"Netaji Subhash Marg, Civil Line, Vidisha",www.satiengg.in,Private Aided,1960,"Engg.MSC_App Science,MBA",Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",shaheed bhagat singh college vidisha (Id: C-53621),Affiliated College,"DHANORA HAWELI, TEELA KHEDI ROAD, VIDISHA",www.sbscollegevidisha.com,Local Body,2011,No,Rural,,2020,2014
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Shaheed Bhagat Singh Mahavidyalaya, Shamshabad, Vidisha (Id: C-35105)",Affiliated College,surya nagar vidisha,,Private Aided,2004,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",SHAHID CHANDRA SHAKHAR AZAD MAHAVIDHALAYA (Id: C-48236),Affiliated College,"BEHIND TOMAR MARKET HANUMAN CHOWK GANJ BASODA, GANJ BASODA",,Private Un-Aided,2010,No,Urban,,2020,2011
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Shri Dwarika Prasad Yadav College, Sironj, Vidisha (Id: C-35157)",Affiliated College,"brij colony near bus stand, sironj distt. vidisha(m.p), sironj",www.shriradhakrishanaksarvikashtrust.org,Private Aided,2006,No,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",SHRI LAKHANLAL AGNIHOTRI MAHAVIDYALAYA PATHARI (Id: C-66631),Affiliated College,"khurai road , pathari, pathari",,State Government,2016,No,Rural,,2020,2020
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","SSL Jjain College, Vidisha (Id: C-35206)",Affiliated College,"HIRAPURA VIDISHA, HIRAPURA VIDISHA, VIDISHA",http://ssljainpgcollege.in,Private Aided,1958,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Subbhadra Sharma Govt. Girls College, Ganjbasoda Distt. Vidhisha (Id: C-35313)",Affiliated College,"Sironj Road, Near Tiranga Chowk, Ganj Basoda",http://www.mphighereducation.nic.in,State Government,1984,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)","Sunries College of Excellence, Vidisha (Id: C-35153)",Affiliated College,"Haripura, Main Road, Haripura, Vidisha",www.sunriserscollege502.in,Private Un-Aided,2008,No,Urban,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",SWAMI VIVEKANAND DEGREE COLLEGE SIRONJ DIST VIDISHA (Id: C-65475),Affiliated College,"9993146665 WARD NO 02 PURANA BHARTIYE VIDIYA MANDIR SIRONJ, WARD NO 02 EXCHANGE ROAD SIRONJ DISTRICT VIDISHA, SIRONJ",WWW.SWAMI.COM,University,2020,No,Rural,,2020,2020
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",The Grantham College of Education Vidisha (Id: C-35267),Affiliated College,"59 Sanchi Road Vidisha MP, Vidisha",wwww.dn-foundation.com,Private Un-Aided,2014,Education/Teacher Education,Rural,,2020,2010
Madhya Pradesh,Vidisha,State Public University ,"Barkatullah University, Bhopal (Id: U-0269)",VAISHNO SHREE EDUCATION COLLEGE (Id: C-62625),Affiliated College,"GRAM BHATNI, NEAR BARETH STATION UDAYPUR ROAD, GANJ BASODA",,Private Un-Aided,2018,No,Rural,,2020,2019
